"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51"
"1" 108093.631955755 66867.3539287484 49548.4967991748 22457.5465857497 29606.1462332521 385945.607935704 1427923.5887172 395392.221846548 257497.007610635 528711.265663159 14495.0429171255 224028.907876629 111409.169644588 443063.879591484 1097563.64952952 601440.949747423 210035.419151569 589020.372119412 3188841.25110455 3329798.69865996 225108.222533693 2100298.50254713 3873205.90463638 2242215.83770426 742662.766944684 154411.782267882 27373.1440350006 54016.6346817085 19777.6098708073 13209.9031182245 3470.27305640404 78762.4479508819 218898.014297295 136026.976622978 99277.1188666616 126324.71128407 16039.4584050722 82521.8019783816 63743.539668347 48758.0381378666 83721.9811937786 43259.494397318 123418.678509007 617180.063284941 302438.159221665 147356.537289837 200379.639785127 10095.4633587666 74589.9613543311 276822.814774401 127466.055761715
"2" 54268.7737916766 135244.567845094 249038.000123401 358248.285089885 606207.21832104 1271262.81440854 1959028.14763333 863125.394002021 402851.86819952 335910.328105413 150895.86610463 482027.689305043 22481.926171432 710934.184136674 1661088.78003945 445476.697452422 428679.670442704 3285691.62880221 7127770.4394362 3762909.48636575 579057.027982309 7814514.70549673 11364418.6250083 6567338.45949659 1904291.57657744 204676.871474983 16489.5712392314 11054.3550871942 25310.633760991 80976.9669041748 20348.6116402537 53224.5805105672 209587.246862133 148942.048292674 61521.3078188992 30502.6993807801 31508.3648823456 32661.0231382782 58991.3878259072 78247.8881243924 94177.8353744149 120364.229179212 27481.2043584863 365993.13831583 148234.043672653 952850.564960018 942695.035356954 246181.726592504 206205.310513983 874737.229703514 752889.111243147
"3" 83681.5120092977 209716.897285735 169520.156763151 445155.330631574 967252.558754757 1530740.23610685 2071698.49094106 1847787.62169547 1245396.5989402 561679.852045343 341300.572586226 754110.075843387 214430.551115592 403161.461813063 1911311.98504812 1487009.73573955 1220861.57643989 3677270.43384865 5596804.55052304 2149171.46023524 406942.651339714 4816494.86408404 6359209.7589011 3736383.06079747 1383293.22501028 308337.895152861 38279.3857988513 11870.6186311493 58199.332157641 47456.0616008912 7768.31902685133 14291.4217073583 173722.349756001 260844.693490172 71543.562972454 39068.8309961588 223168.453676821 117165.785165377 330226.647058485 56456.4623915704 424414.826350176 641447.938345499 165911.337326609 214488.198397799 317333.23418802 1138974.75162342 1066141.21313158 299325.908417078 390267.511368998 2107407.98471427 2200823.53499211
"4" 429641.773517999 315612.906765921 43867.6496579717 209191.054863223 119371.837093065 447740.738417003 549981.235241075 909545.134977046 961100.710005779 476266.923767139 350293.397833133 417293.082136963 191964.272424687 2904.8563029027 404348.978616231 1416227.33815562 1752284.57444316 1565729.10187371 1162174.15064015 422508.231579964 79409.1905119934 367052.737921721 391744.482979909 145598.392078847 1439.90953432712 80986.2426006109 104626.115338289 65015.8957108508 45597.2512997294 9886.20140057064 14199.1177010844 6945.40390067595 79817.7122156958 152814.045808619 14761.018712443 137981.540277754 284456.897314444 89768.4806377171 285012.313929651 9351.8511031273 705096.920895744 856678.362756107 240170.64106476 78554.1894091389 120109.734919334 112788.531050513 108002.145453978 134591.678929531 252846.124956068 1437201.56968927 2091435.24961062
"5" 509850.727793545 257653.259583012 217997.842234733 179262.534974073 155712.293229057 383805.180689786 9354.56015569945 203261.55232005 173407.155820997 270549.494736658 374580.82650349 175736.145877191 22613.2919133598 262625.283211158 477911.503799457 372967.5493619 755433.782557262 1035020.20932259 909376.442344434 568716.069870014 158805.531297866 42607.3458859202 119674.378732149 135564.460261219 147660.083232666 306927.508540893 299104.373160616 157923.139596042 100096.070144853 71734.8514912475 71790.5304778425 26607.3984773716 9339.4656171898 16160.8866937113 36164.1089956403 265552.031602294 166950.397325255 45467.6578302994 122648.004748888 23247.2216061871 397362.397979813 363694.918593682 149699.704567455 91432.9569410609 8996.80725930573 142208.856562999 230334.036275571 188024.459012369 253855.865524118 279702.050931981 626018.121829819
"6" 118570.249013949 75675.1830400383 25658.8184487317 559805.18193892 1384173.17698112 951238.978930012 360063.180644133 642043.161694426 567227.857173779 152798.724099237 886.567818249405 57783.6324026156 656302.610529636 432956.392982359 866184.624792252 2938474.14025512 2101748.7214835 647242.177517064 453943.051610906 291529.320688431 86150.9462503337 53328.0440982306 66736.4592095551 116112.009328668 87062.3517722883 3081.59067917797 22181.3018995953 52823.0346856218 30932.6126737495 11050.568327732 25451.3811612066 16280.7517351339 507.58322637908 6153.03846678487 55182.7741102634 142884.290554027 64091.261606318 8963.54012988818 46996.2142659 47220.4888302155 74656.4112522867 80740.2312482961 122600.60369444 151360.015851032 33844.8491795427 86840.9574177766 216534.374618569 231313.856202731 291179.499618453 145870.828235993 168155.776811341
"7" 631526.181855075 264234.819304616 1015318.19558271 3448601.71587919 2981778.88674855 1241484.55511665 720628.465274193 1472549.6423595 4572433.47247737 4229085.54349362 1116770.78946771 885024.555823095 835568.09365577 1878305.8874069 570385.759871485 12561766.9400933 19333449.9984801 8513437.17596026 1366948.93085344 318604.245538686 126673.617558384 17000.0167812694 2307.40935069213 7473.65044203005 60761.7016355885 68554.8506507175 64274.185657824 112453.972547091 57935.1581482564 15067.4753762689 10239.9022902332 447.782940001827 16188.5919709974 67726.3181796414 95367.2756659165 52183.5681263218 10505.9912873561 8491.838488715 65287.049622251 217346.12563413 397985.955285776 345571.111371517 104101.6821331 25418.749628879 76349.5173934111 275902.14922818 337876.464608982 152060.782917755 176788.968481519 46443.626421584 109743.588261664
"8" 2139316.99097317 515716.296423233 1840992.85578923 5344851.02964929 3418842.27462271 1255463.19013642 1215883.19608718 3930292.51522934 13385772.0318986 12953903.9309622 3206428.76811755 3347473.36767646 928897.955486019 2412562.3953898 1901640.23220282 30855986.6161111 45981905.7306502 18434367.5066692 2828921.34917075 1670135.48597945 739043.511680961 135686.497982984 160828.907282995 241794.974916951 109383.254286815 27296.3809585285 106162.812324469 200231.66711326 145607.275716747 120066.739100859 105349.095560807 22662.5002994054 37809.4851111472 85839.8165761346 73281.303346856 23465.0065129172 7608.64899558925 29098.7144567903 114727.796199335 221313.944931681 476655.95472448 501288.576677666 234293.571319134 53487.2351888614 89323.5464847007 179012.520192643 237836.755029871 87480.6535759685 7549.24775814598 21632.385806542 81701.8174412954
"9" 694366.300172742 53479.292226126 1018978.34783973 3009221.30780436 2099299.30667324 1127527.49244003 1454985.61262918 4147872.89579642 10065167.3400919 7220527.78854662 1055280.67490178 2641803.77654183 792043.762728699 740744.210606971 1795127.3738491 19396381.3009222 24044447.8186434 8325402.34851499 2642828.97313775 2007108.50636038 799955.803476069 401203.734597558 184926.902090358 219089.740829662 273965.099158378 144211.475557658 114316.583705139 164133.184327365 126112.305060366 140811.03572217 185866.388006319 128622.21838705 48699.1236524368 15104.1374596991 4864.37973463954 12002.6065675581 38835.0757538455 23978.0196197989 55034.2290469202 68219.3512309681 51315.877333999 160194.524691211 244422.039282374 156787.737580702 68560.2421780982 75454.3345345595 119132.788879786 142895.916052823 116023.744400168 54134.8210185957 49146.6982000733
"10" 61355.5380082363 56862.7775317294 581502.382323575 1196986.95730183 965501.430424643 510062.405585351 339524.435969714 631181.998065163 1171863.99875744 519389.097441015 177526.383065614 1093854.74751677 389416.561444965 23449.5606681607 65474.4270130628 1403896.01217305 2584816.75920743 1361887.15721025 343200.906525577 64349.4242050679 97406.0444231053 396033.764387198 517890.368488232 373018.013346948 276013.429652492 267218.914014876 180668.909415382 58682.0560151546 28628.4994965185 25434.4814450576 46850.0330129047 115209.347788015 102527.997696167 15527.8737042332 40334.7699757421 24496.9650498867 47514.9397527876 52527.9410484754 46682.1582158031 100431.846906886 58438.9643585908 12258.9194119169 66485.9292534567 71804.3332396471 65990.5744196719 78228.8096929921 108960.993805368 193234.009568651 164579.747647132 16676.7645431974 1530.64603731271
"11" 55454.0537129627 18416.7775688736 207180.189502977 570283.852356569 729821.253784716 339397.053646162 81004.545540249 72629.8925879345 121026.558339492 52846.1758348057 129457.737858523 800267.926184514 790106.846813109 155400.152384721 38314.7026406321 30211.8128659132 387029.812684123 834468.695778925 724124.879622407 498822.286145348 300470.667710531 43836.4145338609 299762.859635745 1171927.87808478 1068507.57620485 358146.784719858 144292.024414801 22563.4613629553 61306.9770548792 108571.314231584 29363.9091724165 15651.0336025045 74160.5833646732 66633.4637246675 109791.179761351 46913.4773854385 55296.9889999505 125617.337758729 80796.6151944776 110754.166888203 85268.284491647 20884.7550046151 78195.1750288229 51717.2305153101 25538.8651439022 28747.3676836471 104755.631696285 316048.670119435 279557.310330134 44295.1698405528 41540.9860088637
"12" 169565.727104168 117793.276065521 70456.152824034 229461.101852548 514640.700747618 146424.899986103 14263.9065192892 63672.2447708249 56013.3157384158 165280.244436239 707664.238658177 1532401.56303337 1220876.35383468 404967.291066531 48375.7599953751 43919.3235068687 121165.720828077 80027.9997817669 349030.579489794 990623.472938139 1496224.70745808 1086224.79691597 435715.678579857 4192646.84339586 6100201.89007717 2123771.60012521 90949.0340863675 63476.6599873165 147208.895741785 320456.266271767 185076.621175735 3088.39694178007 17073.8497057944 84656.86986112 234995.956187072 107180.36898773 55728.9542823439 70507.3662649044 16986.5410291106 116369.288227566 185275.328866743 241960.465064589 338347.860273011 148596.497518674 10016.6207239081 103308.230216363 103139.57899442 83709.0920524756 103257.12746272 10638.5655697311 24507.7359277927
